Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Year,Month
CA-2025-876997,2025-11-10,2025-11-13,Standard Class,CUST-25795,Home Office,United States,Minnesota City,Minnesota,Central,PROD-FUR-9322,Furniture,Furnishings,Desk Organizer,25.6,1,0.4,-9.6,2025,November
CA-2024-165725,2024-04-04,2024-04-09,Standard Class,CUST-77969,Consumer,United States,New York City,New York,East,PROD-FUR-3558,Furniture,Bookcases,Wood Bookcase,175.19,1,0.0,16.79,2024,April
CA-2025-831912,2025-04-11,2025-04-15,First Class,CUST-94654,Corporate,United States,Virginia City,Virginia,South,PROD-OFF-6393,Office Supplies,Paper,Cardstock Paper,86.0,9,0.4,-15.25,2025,April
CA-2025-441097,2025-08-13,2025-08-16,Standard Class,CUST-33897,Consumer,United States,Virginia City,Virginia,South,PROD-FUR-2585,Furniture,Tables,Conference Table,2008.03,4,0.0,248.03,2025,August
CA-2024-123247,2024-12-30,2025-01-03,Standard Class,CUST-62995,Consumer,United States,Illinois City,Illinois,Central,PROD-TEC-8629,Technology,Copiers,Label Printer,868.56,1,0.0,283.56,2024,December
CA-2023-233767,2023-08-05,2023-08-08,Standard Class,CUST-34300,Consumer,United States,Pennsylvania City,Pennsylvania,East,PROD-FUR-1064,Furniture,Bookcases,5-Shelf Bookcase,176.22,1,0.0,17.82,2023,August
CA-2024-921654,2024-02-23,2024-02-28,Standard Class,CUST-58190,Home Office,United States,Massachusetts City,Massachusetts,East,PROD-OFF-7278,Office Supplies,Paper,Color Paper Pack,96.5,7,0.0,17.75,2024,February
CA-2024-745914,2024-12-26,2025-01-01,Standard Class,CUST-87373,Consumer,United States,Indiana City,Indiana,Central,PROD-FUR-4840,Furniture,Tables,Coffee Table,2378.03,5,0.0,178.03,2024,December
CA-2025-424767,2025-05-13,2025-05-18,Standard Class,CUST-10206,Consumer,United States,Arizona City,Arizona,West,PROD-OFF-7374,Office Supplies,Storage,Cardboard Storage Box,144.7,3,0.15,9.7,2025,May
CA-2024-175766,2024-07-31,2024-08-05,Standard Class,CUST-91734,Consumer,United States,Arizona City,Arizona,West,PROD-FUR-4627,Furniture,Furnishings,Wall Clock,92.63,3,0.2,-12.97,2024,July
CA-2024-265838,2024-09-24,2024-09-30,First Class,CUST-25707,Consumer,United States,California City,California,West,PROD-FUR-5413,Furniture,Furnishings,LED Desk Lamp,77.4,2,0.0,7.0,2024,September
CA-2026-913168,2026-02-10,2026-02-12,Standard Class,CUST-83530,Consumer,United States,Florida City,Florida,South,PROD-FUR-8554,Furniture,Bookcases,Metal Storage Bookcase,326.66,2,0.0,9.86,2026,February
CA-2026-468452,2026-02-27,2026-03-03,Standard Class,CUST-10854,Consumer,United States,New York City,New York,East,PROD-OFF-1202,Office Supplies,Art,Sketchbook,42.43,2,0.0,12.43,2026,February
CA-2025-851102,2025-01-21,2025-01-26,Standard Class,CUST-62083,Home Office,United States,Oregon City,Oregon,West,PROD-OFF-1659,Office Supplies,Storage,Cardboard Storage Box,125.07,2,0.0,35.07,2025,January
CA-2025-654594,2025-07-17,2025-07-21,Standard Class,CUST-21411,Corporate,United States,Florida City,Florida,South,PROD-TEC-9120,Technology,Copiers,Label Printer,677.54,1,0.3,92.54,2025,July
CA-2025-690978,2025-05-30,2025-06-02,Standard Class,CUST-26646,Corporate,United States,California City,California,West,PROD-TEC-8158,Technology,Phones,VoIP Desk Phone,836.15,2,0.0,316.15,2025,May
CA-2024-907789,2024-09-19,2024-09-21,Standard Class,CUST-14499,Home Office,United States,Florida City,Florida,South,PROD-TEC-3557,Technology,Machines,3D Printer,1808.32,9,0.4,-239.18,2024,September
CA-2023-271890,2023-06-10,2023-06-12,Standard Class,CUST-87505,Corporate,United States,Tennessee City,Tennessee,South,PROD-FUR-2218,Furniture,Furnishings,Wall Clock,147.0,4,0.0,6.2,2023,June
CA-2024-145714,2024-07-16,2024-07-22,Second Class,CUST-55525,Consumer,United States,Colorado City,Colorado,West,PROD-TEC-8022,Technology,Accessories,Mechanical Keyboard,250.68,3,0.0,94.68,2024,July
CA-2026-559451,2026-04-10,2026-04-17,Same Day,CUST-66835,Consumer,United States,New York City,New York,East,PROD-TEC-2060,Technology,Copiers,Label Printer,7871.98,8,0.0,3191.98,2026,April
CA-2025-866577,2025-07-16,2025-07-22,Standard Class,CUST-64240,Consumer,United States,Ohio City,Ohio,East,PROD-FUR-6854,Furniture,Chairs,Executive Leather Chair,959.79,6,0.3,-360.21,2025,July
CA-2023-544209,2023-06-04,2023-06-07,Standard Class,CUST-82991,Corporate,United States,Illinois City,Illinois,Central,PROD-TEC-8343,Technology,Phones,Bluetooth Headset,1180.75,3,0.0,400.75,2023,June
CA-2025-749150,2025-06-21,2025-06-25,Second Class,CUST-39592,Corporate,United States,North Carolina City,North Carolina,South,PROD-OFF-7614,Office Supplies,Art,Sketchbook,19.75,1,0.0,4.75,2025,June
CA-2024-804107,2024-07-23,2024-07-25,Standard Class,CUST-62921,Corporate,United States,Pennsylvania City,Pennsylvania,East,PROD-TEC-3491,Technology,Accessories,USB-C Hub,122.15,2,0.2,18.15,2024,July
CA-2023-727769,2023-02-16,2023-02-21,Standard Class,CUST-97142,Consumer,United States,New Jersey City,New Jersey,East,PROD-FUR-2693,Furniture,Tables,Dining Table,493.35,1,0.0,53.35,2023,February
CA-2025-765022,2025-10-09,2025-10-11,First Class,CUST-35945,Consumer,United States,New York City,New York,East,PROD-OFF-8404,Office Supplies,Paper,Color Paper Pack,18.86,2,0.4,-3.64,2025,October
CA-2026-260196,2026-01-04,2026-01-08,Standard Class,CUST-26964,Corporate,United States,Michigan City,Michigan,Central,PROD-FUR-6188,Furniture,Chairs,Executive Leather Chair,273.98,1,0.0,53.98,2026,January
CA-2024-371967,2024-07-04,2024-07-08,Standard Class,CUST-53919,Consumer,United States,Tennessee City,Tennessee,South,PROD-OFF-3849,Office Supplies,Binders,Heavy Duty Binder,17.39,2,0.0,5.39,2024,July
CA-2025-104000,2025-11-05,2025-11-07,Second Class,CUST-70160,Corporate,United States,New Jersey City,New Jersey,East,PROD-FUR-1851,Furniture,Furnishings,Wall Clock,123.44,3,0.0,17.84,2025,November
CA-2026-738873,2026-04-06,2026-04-13,Standard Class,CUST-80588,Corporate,United States,New Jersey City,New Jersey,East,PROD-FUR-9945,Furniture,Bookcases,Metal Storage Bookcase,693.93,4,0.0,60.33,2026,April
CA-2024-930857,2024-09-08,2024-09-12,Second Class,CUST-25305,Consumer,United States,Oregon City,Oregon,West,PROD-OFF-8543,Office Supplies,Appliances,Compact Refrigerator,459.08,5,0.2,9.08,2024,September
CA-2026-798646,2026-01-27,2026-01-31,Standard Class,CUST-48756,Corporate,United States,Georgia City,Georgia,South,PROD-TEC-8357,Technology,Machines,Laminating Machine,1087.77,3,0.0,405.27,2026,January
CA-2023-159163,2023-03-03,2023-03-07,Standard Class,CUST-78450,Consumer,United States,New York City,New York,East,PROD-FUR-1395,Furniture,Bookcases,5-Shelf Bookcase,1258.39,9,0.2,-167.21,2023,March
CA-2023-189780,2023-05-24,2023-05-28,Standard Class,CUST-92637,Corporate,United States,Georgia City,Georgia,South,PROD-OFF-8651,Office Supplies,Appliances,Compact Refrigerator,847.03,9,0.15,37.03,2023,May
CA-2026-383821,2026-03-02,2026-03-07,Standard Class,CUST-31545,Home Office,United States,Washington City,Washington,West,PROD-TEC-8241,Technology,Copiers,Label Printer,4612.45,6,0.2,1102.45,2026,March
CA-2025-977699,2025-03-05,2025-03-10,Standard Class,CUST-56732,Consumer,United States,Pennsylvania City,Pennsylvania,East,PROD-FUR-2365,Furniture,Bookcases,Modular Shelving Unit,829.48,6,0.3,-120.92,2025,March
CA-2025-811131,2025-05-25,2025-05-29,Standard Class,CUST-45909,Corporate,United States,Minnesota City,Minnesota,Central,PROD-TEC-5268,Technology,Copiers,All-in-One Copier,820.13,1,0.0,235.13,2025,May
CA-2024-604492,2024-01-22,2024-01-26,Same Day,CUST-67799,Consumer,United States,New York City,New York,East,PROD-OFF-1823,Office Supplies,Paper,Premium A4 Copy Paper,47.72,3,0.0,13.97,2024,January
CA-2023-601108,2023-07-22,2023-07-29,Standard Class,CUST-32700,Consumer,United States,Ohio City,Ohio,East,PROD-OFF-7190,Office Supplies,Paper,Recycled Paper,53.51,4,0.1,8.51,2023,July
CA-2025-520571,2025-11-01,2025-11-08,Standard Class,CUST-78866,Home Office,United States,Massachusetts City,Massachusetts,East,PROD-OFF-7819,Office Supplies,Art,Colored Pencils,61.0,3,0.0,16.0,2025,November
CA-2026-563556,2026-05-09,2026-05-13,First Class,CUST-14835,Home Office,United States,California City,California,West,PROD-OFF-2581,Office Supplies,Storage,Plastic Storage Bin,41.3,1,0.3,-3.7,2026,May
CA-2026-818040,2026-06-28,2026-06-30,Standard Class,CUST-60990,Home Office,United States,Washington City,Washington,West,PROD-OFF-9415,Office Supplies,Paper,Recycled Paper,157.49,10,0.0,44.99,2026,June
CA-2023-910006,2023-04-15,2023-04-19,Standard Class,CUST-30309,Home Office,United States,Ohio City,Ohio,East,PROD-FUR-3000,Furniture,Tables,Dining Table,1380.36,3,0.15,60.36,2023,April
CA-2023-192193,2023-03-24,2023-03-27,Standard Class,CUST-33524,Corporate,United States,Washington City,Washington,West,PROD-FUR-1716,Furniture,Bookcases,5-Shelf Bookcase,302.8,2,0.2,-14.0,2023,March
CA-2023-581680,2023-09-07,2023-09-11,Second Class,CUST-46187,Consumer,United States,Illinois City,Illinois,Central,PROD-OFF-2077,Office Supplies,Art,Colored Pencils,190.51,9,0.0,55.51,2023,September
